Sigle du cours,Titre du cours,Type de cours,Nombre de crédits,Charge hebdomadaire,Cycle d'études,Cours préalable,Département responsable, Profil de formation du programme ,Numéro du programme
EUT 4138,Gestion des événements et congrès,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1002,Administration,Gestion du tourisme,535
EUT 4150,Technologies de l'information et des communications et réseaux de distribution en tourisme,Cours avec examen,3,9 heures par semaine,Premier cycle,MKG 3315,Administration,Gestion du tourisme,535
MKG 3315,Marketing de tourisme et hôtellerie,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,535
ADM 2007,Introduction au marketing,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Marketing,975
ADM 2009,Marketing responsable,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Marketing,975
ADM 2015,Comportement du consommateur,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Marketing,975
ADM 2112,Recherche marketing,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Marketing,975
ADM 2116,Stratégie marketing,Cours avec examen,3,9 heures par semaine,Premier cycle,"ADM 2007, ADM 2015 et ADM 2112",Administration,Marketing,975
ADM 1002,Initiation à la gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion d'entreprise,421
ADM 1015,Gestion des ressources humaines,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion d'entreprise,421
ADM 2006,Les systèmes d'information de gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion d'entreprise,421
ADM 2007,Introduction au marketing,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion d'entreprise,421
ADM 1002,Initiation à la gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 1013,Comportement organisationnel,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 2007,Introduction au marketing,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ECO 1300,Analyse microéconomique,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
FIN 1020,Administration financière 1,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration,4397
SCO 1205,Initiation à la comptabilité financière,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 1700,Principes de l'assurance de personnes,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
FIN 2022,Analyse financière et gestion du fonds de roulement,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
SCO 1060,Fiscalité 1,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration,4397
SCO 1065,Fiscalité 2,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1060,Administration,Administration,4397
ADM 1012,Le management du changement,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1002 ou ADM 1101 ou ADM 1105,Administration,Administration,4397
ADM 1015,Gestion des ressources humaines,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 1018,Leadership,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 1400,Théories de l'organisation,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 1402,Entreprise et société,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 1450,Initiation à la gestion de projets,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 3013,Gestion de la responsabilité sociale des entreprises,A définir prochainement,3,9 heures par semaine,Premier cycle,A définir prochainement,Administration,Administration,4397
COM 1021,Techniques d'animation et d'intervention,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
DRT 1062,Gouvernance de l'entreprise et responsabilités juridiques des administrateurs,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
EDU 1033,Gestion de projets et compétence numérique en milieu de travail,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
EUT 4138,Gestion des événements et congrès,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1002,Administration,Administration,4397
ADM 2015,Comportement du consommateur,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration,4397
ADM 2016,Gestion de la relation de vente,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration,4397
ADM 2017,Marketing des commerces de détail et expérience client,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration,4397
ADM 2112,Recherche marketing,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration,4397
ADM 1420,Gestion des opérations,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM2006,Les systèmes d'information de gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
MQT 2001,Statistiques appliquées à la gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
MQT 2420,Récherche opérationnelle,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
DRT 1060,Droit des affaires,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
DRT 1080,Droit du travail au Québec,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ECO 2011,Économie du Québec,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ECO 2400,Analyse macroéconomique,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 1002,Initiation à la gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 3028,"Len enjeux éthiques, légaux et sociétaux des TI",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
DRT 1060,Droit des affaires,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ECO 2400,Analyse macroéconomique,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
SCO 1205,Initiation à la comptabilité financière,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 1420,Gestion des opérations,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 2007,Introduction au marketing,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 2016,Gestion de la relation de vente,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration de services,4480
ADM 2115,Réaliser un projet d'affaires,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 2115A,Simulation SIM-Plan d'affaires,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 7015,Stratégies de sollicitation en planification financière personnelle,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
FIN 1020,Administration financière 1,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration de services,4480
FIN 2020,Administration financière 2,Cours avec examen,3,9 heures par semaine,Premier cycle,FIN 1020,Administration,Administration de services,4480
FIN 3120,Éléments d'analyse du crédit productif en microfinance,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
SCO 1060,Fiscalité 1,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration de services,4480
SCO 1065,Fiscalité 2,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1060,Administration,Administration de services,4480
SCO 2205,Présentation et analyse des états financiers,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration de services,4480
SCO 3202,Comptabilité intermédiaire 1,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration de services,4480
SCO 3212,Comptabilité intermédiaire 2,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 3202,Administration,Administration de services,4480
ADM 1013,Comportement organisationnel,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 1015,Gestion des ressources humaines,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 1402,Entreprise et société,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 2006,Les systèmes d'information de gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
COM 1021,Techniques d'animation et d'intervention,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
DRT 1062,Gouvernance de l'entreprise et responsabilités juridiques des administrateurs,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ECO 1300,Analyse microéconomique,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
FRA 3006,Rédaction administrative,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
MQT 2001,Statistiques appliquées à la gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
MQT 2420,Récherche opérationnelle,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 1015,Gestion des ressources humaines,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 1101,Management dans les établissements de santé et de services sociaux,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 2205,Le système de santé et des services sociaux du Québec,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 2210,Droit et éthique de la santé et des services sociaux,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 2214,Principes de budgétisation dans les services de santé et les services sociaux,Information manquante,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 2215,La qualité et sa gestion dans les services de santé et services sociaux,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 2220,Pratique de la gestion dans le domaine de la santé et des services sociaux,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 1012,Le management du changement,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1002 ou ADM 1101 ou ADM 1105,Administration,Gestion des services de santé et des services sociaux,4459
COM 3030,La communication interculturelle: une introduction,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 1013,Comportement organisationnel,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 1400,Théories de l'organisation,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 2006,Les systèmes d'information de gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
FRA 3006,Rédaction administrative,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
RIN 1012,Droit et pratique des conventions collectives,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
RIN 1013,Problèmes de santé au travail,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 1002,Initiation à la gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,4734
EUT 1123,"Histoire, acteurs et enjeux du tourisme",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,4734
EUT 4138,Gestion des événements et congrès,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1002,Administration,Gestion du tourisme,4734
EUT 4150,Technologies de l'information et des communications et réseaux de distribution en tourisme,Cours avec examen,3,9 heures par semaine,Premier cycle,MKG 3315,Administration,Gestion du tourisme,4734
EUT 5045,Stratégies des entreprises touristiques et hôtelières,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,4734
EUT 5106,Environnements politiques et administratifs du tourisme,Cours avec examen,3,9 heures par semaine,Premier cycle,EUT 1023 ou EUT 1123,Administration,Gestion du tourisme,4734
EUT 5109,Tourisme urbain,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,4734
EUT 5120,Tourisme de nature et d'aventures,Information manquante,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,4734
MKG 3315,Marketing de tourisme et hôtellerie,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,4734
ADM 2115,Réaliser un projet d'affaires,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,4734
ADM 2115A,Simulation SIM-Plan d'affaires,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,4734
DRT 1060,Droit des affaires,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,4734
SCO 1205,Initiation à la comptabilité financière,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,4734
ADM 1002,Initiation à la gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du travail de bureau,4386
ADM 1013,Comportement organisationnel,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du travail de bureau,4386
ADM 1015,Gestion des ressources humaines,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du travail de bureau,4386
ADM 2006,Les systèmes d'information de gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du travail de bureau,4386
ADM 1404,Travail et société,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du travail de bureau,4386
COM 5000,Communication organisationnelle,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du travail de bureau,4386
DRT 1080,Droit du travail au Québec,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du travail de bureau,4386
ECO 3003,Économie du travail,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du travail de bureau,4386
FIN 1020,Administration financière 1,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Gestion du travail de bureau,4386
FRA 3006,Rédaction administrative,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du travail de bureau,4386
RIN 1016,Gestion de la rémunération,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du travail de bureau,4386
RIN 2013,Conciliation emploi-famille et temps de travail,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du travail de bureau,4386
RIN 4120,"Innovation, organisation du travail et gestion des ressources humaines",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du travail de bureau,4386
SCO 1205,Initiation à la comptabilité financière,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du travail de bureau,4386
ADM 1002,Initiation à la gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Management,4084
ADM 1012,Le management du changement,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1002 ou ADM 1101 ou ADM 1105,Administration,Management,4084
ADM 1013,Comportement organisationnel,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Management,4084
ADM 1400,Théories de l'organisation,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Management,4084
ADM 1402,Entreprise et société,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Management,4084
ADM 3011,Éthique et responsabilité sociale des entreprises,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Management,4084
ADM 1018,Leadership,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Management,4084
ADM 1404,Travail et société,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Management,4084
ADM 1450,Initiation à la gestion de projets,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Management,4084
ADM 3012,Gestion de la diversité culturelle,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Management,4084
ADM 3013,Gestion de la responsabilité sociale des entreprises,A définir prochainement,3,9 heures par semaine,Premier cycle,A définir prochainement,Administration,Management,4084
COM 1013,Communication et structures organisationnelles,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Management,4084
COM 5002,Culture organisationnelle,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Management,4084
EDU 1033,Gestion de projets et compétence numérique en milieu de travail,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Management,4084
RIN 4120,"Innovation, organisation du travail et gestion des ressources humaines",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Management,4084
ADM 1013,Comportement organisationnel,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 2007,Introduction au marketing,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
SCO 1205,Initiation à la comptabilité financière,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 1015,Gestion des ressources humaines,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 2006,Les systèmes d'information de gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ECO 1300,Analyse microéconomique,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
DRT 1060,Droit des affaires,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
FIN 1020,Administration financière 1,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration (cheminement général),7764
ADM 1002,Initiation à la gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 3011,Éthique et responsabilité sociale des entreprises,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ECO 2400,Analyse macroéconomique,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 1420,Gestion des opérations,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
MQT 2001,Statistiques appliquées à la gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 1402,Entreprise et société,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 4007,Analyse stratégique de l'entreprise,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 1400,Théories de l'organisation,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 3028,"Len enjeux éthiques, légaux et sociétaux des TI",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
SCO 2006,Contrôle de gestion,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration (cheminement général),7764
ADM 1012,Le management du changement,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1002 ou ADM 1101 ou ADM 1105,Administration,Administration (cheminement général),7764
ADM 1018,Leadership,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 1404,Travail et société,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 1450,Initiation à la gestion de projets,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 3012,Gestion de la diversité culturelle,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 3013,Gestion de la responsabilité sociale des entreprises,A définir prochainement,3,9 heures par semaine,Premier cycle,A définir prochainement,Administration,Administration (cheminement général),7764
ADM 2009,Marketing responsable,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration (cheminement général),7764
ADM 2013,Publicité et promotion pour les entreprises de services,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 2015,Comportement du consommateur,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration (cheminement général),7764
ADM 2016,Gestion de la relation de vente,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration (cheminement général),7764
ADM 2017,Marketing des commerces de détail et expérience client,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration (cheminement général),7764
ADM 2112,Recherche marketing,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration (cheminement général),7764
ADM 2116,Stratégie marketing,Cours avec examen,3,9 heures par semaine,Premier cycle,"ADM 2007, ADM 2015 et ADM 2112",Administration,Administration (cheminement général),7764
FIN 2020,Administration financière 2,Cours avec examen,3,9 heures par semaine,Premier cycle,FIN 1020,Administration,Administration (cheminement général),7764
FIN 2301,Paradis fiscaux et finance offshore,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
FIN 3120,Éléments d'analyse du crédit productif en microfinance,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
SCO 1060,Fiscalité 1,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration (cheminement général),7764
SCO 1065,Fiscalité 2,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1060,Administration,Administration (cheminement général),7764
SCO 2205,Présentation et analyse des états financiers,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration (cheminement général),7764
SCO 3202,Comptabilité intermédiaire 1,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration (cheminement général),7764
SCO 3212,Comptabilité intermédiaire 2,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 3202,Administration,Administration (cheminement général),7764
ADM 1700,Principes de l'assurance de personnes,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 7012,Retraite et planification successorale,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1700 et SCO 1060,Administration,Administration (cheminement général),7764
ADM 7014,Approfondissement de la planification successorale,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 7012,Administration,Administration (cheminement général),7764
ADM 7015,Stratégies de sollicitation en planification financière personnelle,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 7030,Activité d'intégration en planification financière,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
DRT 1910,Aspects juridiques pour planificateurs financiers,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
FIN 1932,Fonds d'inverstissement et produits finenciers,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
SCO 1064,Fiscalité 2 pour planificateurs financiers,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1060,Administration,Administration (cheminement général),7764
ADM 2010,Gestion de la formation et développement des ressources humaines,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 4015,Modèles internationaux de gestion des ressources humaines,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 4020,Gestion du rendement,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
