e_Prénom,e_Nom,e_NuméroÉtudiant,e_CodePermanent,e_ProfilDeFormationÉtudiant,e_SessionÉtudes,e_SigleDuCours,e_TitreDuCours,e_NoteFinaleDuCours,e_NomDuProgramme,e_NuméroDuProgramme,e_ProfilDeFormationDuProgramme
Charlie,Poirier,46583920,POIC16048821,Sciences,"Automne 2022","ENV 4016","Améganement du territoire et environnement",B,"Certificat en science et technologie",4401,"Science et technologie"
Catherine,Lemaire,17453870,LEMC25068729,Sciences,"Automne 2022","ENV 3114","Agroforesterie et développement durable",B,"Certificat en science et technologie",4401,"Science et technologie"
Catherine,Lemaire,17453870,LEMC25068729,Sciences,"Automne 2022","GEO 1001","Introduction à la géographie physique",C,"Certificat en science et technologie",4401,"Science et technologie"
Catherine,Lemaire,17453870,LEMC25068729,Sciences,"Automne 2022","ENV 3013",Écotoxicologie,A,"Certificat en science et technologie",4401,"Science et technologie"
Catherine,Lemaire,17453870,LEMC25068729,Sciences,"Automne 2022","ENV 3017","Santé et environnement",C,"Certificat en science et technologie",4401,"Science et technologie"
Imade,Azzabi,27584967,AZZI10109478,Sciences,"Automne 2022","ENV 3013",Écotoxicologie,A,"Certificat en science et technologie",4401,"Science et technologie"
Imade,Azzabi,27584967,AZZI10109478,Sciences,"Automne 2022","ENV 3017","Santé et environnement",B,"Certificat en science et technologie",4401,"Science et technologie"
Imade,Azzabi,27584967,AZZI10109478,Sciences,"Automne 2022","ENV 4014","Technologies d'assainissement et prévention de la pollution",B,"Certificat en science et technologie",4401,"Science et technologie"
Imade,Azzabi,27584967,AZZI10109478,Sciences,"Automne 2022","ENV 1110","Changements climatiques",C,"Certificat en science et technologie",4401,"Science et technologie"
Haila,Fadhel,45376840,FADH28128743,Sciences,"Automne 2022","ENV 3017","Santé et environnement",A,"Certificat en science et technologie",4401,"Science et technologie"
Haila,Fadhel,45376840,FADH28128743,Sciences,"Automne 2022","ENV 4014","Technologies d'assainissement et prévention de la pollution",B,"Certificat en science et technologie",4401,"Science et technologie"
Haila,Fadhel,45376840,FADH28128743,Sciences,"Automne 2022","ENV 1110","Changements climatiques",C,"Certificat en science et technologie",4401,"Science et technologie"
Haila,Fadhel,45376840,FADH28128743,Sciences,"Automne 2022","ENV 3026","Administration (économie) et gestion du développement durable",A,"Certificat en science et technologie",4401,"Science et technologie"
Himaya,Chalobah,47364840,CHAH21118642,Sciences,"Automne 2022","ENV 3026","Administration (économie) et gestion du développement durable",C,"Certificat en science et technologie",4401,"Science et technologie"
Himaya,Chalobah,47364840,CHAH21118642,Sciences,"Automne 2022","ENV 4016","Améganement du territoire et environnement",B,"Certificat en science et technologie",4401,"Science et technologie"
Himaya,Chalobah,47364840,CHAH21118642,Sciences,"Automne 2022","INF 1250","Introduction aux bases de données",A,"Certificat en science et technologie",4401,"Science et technologie"
Himaya,Chalobah,47364840,CHAH21118642,Sciences,"Automne 2022","INF 1425","Algorithmique et structures de données",A,"Certificat en science et technologie",4401,"Science et technologie"
