Prénom,Nom,Adresse,Téléphone,Numéro d'étudiant,Adresse courriel,Mot de passe,Code permanent,Sexe,Date de naissance,Session d'études,Profil de formation de l'étudiant,Sigle du cours,Titre du cours,Note finale du cours,Nom du programme,Numéro du programme,Profil de formation du programme
Thomas,Pelletier,"2020, Rue Sauvé Est, Montréal, Québec, H2B 4P8",514-664-2958,35174858,pelletier.thomas@univ.teluq.ca,PELT35174858,PELT07098906,Masculin,7/9/1989,Hiver 2021,Finance,DRT 1910,Aspects juridiques pour planificateurs financiers,B,Certificat en planification financière (cheminement général),4731,Planification financière (cheminement général)
Thomas,Pelletier,"2020, Rue Sauvé Est, Montréal, Québec, H2B 4P8",514-664-2958,35174858,pelletier.thomas@univ.teluq.ca,PELT35174858,PELT07098906,Masculin,7/9/1989,Hiver 2021,Finance,FIN 1932,Fonds d'inverstissement et produits financiers,Abandon,Certificat en planification financière (cheminement général),4731,Planification financière (cheminement général)
Alex ,Roy,"9362, Avenue Papineau, Montréal, Québec, H2M 2C9",514-739-2035,78453759,roy.alex@univ.teluq.ca,ROYA78453759,ROYA23029207,Masculin,23-02-1992,Automne 2020,Administration (économie),ECO 1300,Analyse microéconomique,A,Programme court en Administration (économie),979,Administration (économie)
Alex ,Roy,"9362, Avenue Papineau, Montréal, Québec, H2M 2C9",514-739-2035,78453759,roy.alex@univ.teluq.ca,ROYA78453759,ROYA23029207,Masculin,23-02-1992,Automne 2020,Administration (économie),ECO 2400,Analyse macroéconomique,B,Programme court en Administration (économie),979,Administration (économie)
Alex ,Roy,"9362, Avenue Papineau, Montréal, Québec, H2M 2C9",514-739-2035,78453759,roy.alex@univ.teluq.ca,ROYA78453759,ROYA23029207,Masculin,23-02-1992,Automne 2020,Administration (économie),ECO 2015,Administration (économie) internationale,A,Programme court en Administration (économie),979,Administration (économie)
Alex ,Roy,"9362, Avenue Papineau, Montréal, Québec, H2M 2C9",514-739-2035,78453759,roy.alex@univ.teluq.ca,ROYA78453759,ROYA23029207,Masculin,23-02-1992,Automne 2020,Administration (économie),ECO 2021,Administration (économie) responsable,B,Programme court en Administration (économie),979,Administration (économie)
Estelle,Bélanger,"254 Boulevardd St Elzéar E, Laval, QC H7M 4A2",450-285-4096,17456387,bellanger.estelle@univ.teluq.ca,BELE17456387,BELE19109402,Feminin,19-10-1994,Été 2021,Environnement,ENV 6000,Pensées écologiques et environnement international,Abandon,Diplôme d'études supérieures spécialisées en environnement international (profil professionnel),1937,Environnement international (profil professionnel)
Estelle,Bélanger,"254 Boulevardd St Elzéar E, Laval, QC H7M 4A2",450-285-4096,17456387,bellanger.estelle@univ.teluq.ca,BELE17456387,BELE19109402,Feminin,19-10-1994,Été 2021,Environnement,ENV 6003,"Changements climatiques: impacts, adaptation, mitigation",B,Diplôme d'études supérieures spécialisées en environnement international (profil professionnel),1937,Environnement international (profil professionnel)
Estelle,Bélanger,"254 Boulevardd St Elzéar E, Laval, QC H7M 4A2",450-285-4096,17456387,bellanger.estelle@univ.teluq.ca,BELE17456387,BELE19109402,Feminin,19-10-1994,Été 2021,Environnement,ENV 6006,Résolution de problèmes environnementaux,C,Diplôme d'études supérieures spécialisées en environnement international (profil professionnel),1937,Environnement international (profil professionnel)
Estelle,Bélanger,"254 Boulevardd St Elzéar E, Laval, QC H7M 4A2",450-285-4096,17456387,bellanger.estelle@univ.teluq.ca,BELE17456387,BELE19109402,Feminin,19-10-1994,Été 2021,Environnement,ENV 6007,Océans et gestion intégrée des zones côtières,A,Diplôme d'études supérieures spécialisées en environnement international (profil professionnel),1937,Environnement international (profil professionnel)
Alice,Fortin,"289 Boulevard Ivan - Pavlov, Laval, QC H7M 4H6",450-739-9038,56372943,fortin.alice@univ.teluq.ca,FORA56372943,FORA06039301,Feminin,6/3/1993,Été 2021,Sciences,SCI 1230,Travail scientifique et technologies de l'information,B,Certificat en science et technologie,4401,Science et technologie
Alice,Fortin,"289 Boulevard Ivan - Pavlov, Laval, QC H7M 4H6",450-739-9038,56372943,fortin.alice@univ.teluq.ca,FORA56372943,FORA06039301,Feminin,6/3/1993,Été 2021,Sciences,ADM 3028,"Len enjeux éthiques, légaux et sociétaux des TI",C,Certificat en science et technologie,4401,Science et technologie
Alice,Fortin,"289 Boulevard Ivan - Pavlov, Laval, QC H7M 4H6",450-739-9038,56372943,fortin.alice@univ.teluq.ca,FORA56372943,FORA06039301,Feminin,6/3/1993,Été 2021,Sciences,ENV 1101,Introduction à la gestion des ressources naturelles,A,Certificat en science et technologie,4401,Science et technologie
Alice,Fortin,"289 Boulevard Ivan - Pavlov, Laval, QC H7M 4H6",450-739-9038,56372943,fortin.alice@univ.teluq.ca,FORA56372943,FORA06039301,Feminin,6/3/1993,Été 2021,Sciences,ENV 2010,Gestion des ressources: faune et habitat,B,Certificat en science et technologie,4401,Science et technologie
Marianne,Bergeron,"497 Rue Principale, Laval, QC H7X 1C4",438-936-7238,46583568,bergeron.marianne@univ.teluq.ca,BERM46583568,BERM09029012,Feminin,9/2/1990,Été 2020,Gestion des technologies de l'information,ADM 6030,Gestion des risques en affaires électroniques,B,Diplôme d'études supérieures spécialisées en gouvernance des technologies de l'information,1910,Gouvernance des technologies de l'information
Marianne,Bergeron,"497 Rue Principale, Laval, QC H7X 1C4",438-936-7238,46583568,bergeron.marianne@univ.teluq.ca,BERM46583568,BERM09029012,Feminin,9/2/1990,Été 2020,Gestion des technologies de l'information,ADM 6040,Gestion stratégique des technologies de l'information,A,Diplôme d'études supérieures spécialisées en gouvernance des technologies de l'information,1910,Gouvernance des technologies de l'information
Marianne,Bergeron,"497 Rue Principale, Laval, QC H7X 1C4",438-936-7238,46583568,bergeron.marianne@univ.teluq.ca,BERM46583568,BERM09029012,Feminin,9/2/1990,Été 2020,Gestion des technologies de l'information,ADM 6044,Gestion de projet en technologie de l'information,A,Diplôme d'études supérieures spécialisées en gouvernance des technologies de l'information,1910,Gouvernance des technologies de l'information
Marianne,Bergeron,"497 Rue Principale, Laval, QC H7X 1C4",438-936-7238,46583568,bergeron.marianne@univ.teluq.ca,BERM46583568,BERM09029012,Feminin,9/2/1990,Été 2020,Gestion des technologies de l'information,ADM 6046,Gestion de la sécurité des technologies de l'information,B,Diplôme d'études supérieures spécialisées en gouvernance des technologies de l'information,1910,Gouvernance des technologies de l'information
Julien,Ouellet,"769 Boulevard. Samson, Laval, QC H7X 1K2",450-395-1023,45937642,ouellet.julien@univ.teluq.ca,OUEJ45937642,OUEJ20118914,Masculin,20-11-1989,Hiver 2021,Droit,DRT 1060,Droit des affaires,B,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Julien,Ouellet,"769 Boulevard. Samson, Laval, QC H7X 1K2",450-395-1023,45937642,ouellet.julien@univ.teluq.ca,OUEJ45937642,OUEJ20118914,Masculin,20-11-1989,Hiver 2021,Droit,DRT 1062,Gouvernance de l'entreprise et responsabilités juridiques des administrateurs,A,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Julien,Ouellet,"769 Boulevard. Samson, Laval, QC H7X 1K2",450-395-1023,45937642,ouellet.julien@univ.teluq.ca,OUEJ45937642,OUEJ20118914,Masculin,20-11-1989,Hiver 2021,Droit,DRT 1080,Droit du travail au Québec,A,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Julien,Ouellet,"769 Boulevard. Samson, Laval, QC H7X 1K2",450-395-1023,45937642,ouellet.julien@univ.teluq.ca,OUEJ45937642,OUEJ20118914,Masculin,20-11-1989,Hiver 2021,Droit,DRT 1910,Aspects juridiques pour planificateurs financiers,B,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Paul,Goyette,"1975 Boulevard René-Laennec, Laval, QC H7M 1Z7",438-960-2748,65378953,goyette.paul@univ.teluq.ca,GOYP65378953,GOYP15129116,Masculin,15-12-1991,Été 2021,Comptabilité,ADM 1013,Comportement organisationnel,B,Certificat en comptabilité générale,4227,Comptabilité générale
Paul,Goyette,"1975 Boulevard René-Laennec, Laval, QC H7M 1Z7",438-960-2748,65378953,goyette.paul@univ.teluq.ca,GOYP65378953,GOYP15129116,Masculin,15-12-1991,Été 2021,Comptabilité,ADM 1015,Gestion des ressources humaines,B,Certificat en comptabilité générale,4227,Comptabilité générale
Paul,Goyette,"1975 Boulevard René-Laennec, Laval, QC H7M 1Z7",438-960-2748,65378953,goyette.paul@univ.teluq.ca,GOYP65378953,GOYP15129116,Masculin,15-12-1991,Été 2021,Comptabilité,ADM 2007,Introduction au marketing,A,Certificat en comptabilité générale,4227,Comptabilité générale
Paul,Goyette,"1975 Boulevard René-Laennec, Laval, QC H7M 1Z7",438-960-2748,65378953,goyette.paul@univ.teluq.ca,GOYP65378953,GOYP15129116,Masculin,15-12-1991,Été 2021,Comptabilité,DRT 1062,Gouvernance de l'entreprise et responsabilités juridiques des administrateurs,A,Certificat en comptabilité générale,4227,Comptabilité générale
Chloe,Gauthier,"1791 Monnée Monette, Laval, QC H7M 4C7",450-962-7328,45674981,gauthier.chloe@univ.teluq.ca,GAUC45674981,GAUC23079112,Feminin,23-07-1991,Hiver 2021,Éducation,EDU 1020,Stratégies d'intervention éducative auprès des adultes,B,Majeure en éducation des adultes,6394,Éducation avec majeure(s)
Chloe,Gauthier,"1791 Monnée Monette, Laval, QC H7M 4C7",450-962-7328,45674981,gauthier.chloe@univ.teluq.ca,GAUC45674981,GAUC23079112,Feminin,23-07-1991,Hiver 2021,Éducation,EDU 1030,Design pédagogique en formation d'adultes,A,Majeure en éducation des adultes,6394,Éducation avec majeure(s)
Chloe,Gauthier,"1791 Monnée Monette, Laval, QC H7M 4C7",450-962-7328,45674981,gauthier.chloe@univ.teluq.ca,GAUC45674981,GAUC23079112,Feminin,23-07-1991,Hiver 2021,Éducation,EDU 1040,Théories de l'apprentissage et éducation des adultes,A,Majeure en éducation des adultes,6394,Éducation avec majeure(s)
Chloe,Gauthier,"1791 Monnée Monette, Laval, QC H7M 4C7",450-962-7328,45674981,gauthier.chloe@univ.teluq.ca,GAUC45674981,GAUC23079112,Feminin,23-07-1991,Hiver 2021,Éducation,EDU 1050,Analyse sociale de l'éducation,B,Majeure en éducation des adultes,6394,Éducation avec majeure(s)
Isabella,Drouin,"6336 Bd Maurice-Duplessis, Montréal-Nord, QC H1G 1Y8",514-549-2958,17453972,drouin.isabelles@univ.teluq.ca,DROI17453972,DROI17019309,Feminin,17-01-1993,Automne 2020,Administration,ADM 3007,Initiatives de développement local et d'Administration (économie) sociale,C,Programme court en développement économique local et communautaire,121,Développement économique local et communautaire
Isabella,Drouin,"6336 Bd Maurice-Duplessis, Montréal-Nord, QC H1G 1Y8",514-549-2958,17453972,drouin.isabelles@univ.teluq.ca,DROI17453972,DROI17019309,Feminin,17-01-1993,Automne 2020,Administration,ADM 1404,Travail et société,A,Programme court en développement économique local et communautaire,121,Développement économique local et communautaire
Isabella,Drouin,"6336 Bd Maurice-Duplessis, Montréal-Nord, QC H1G 1Y8",514-549-2958,17453972,drouin.isabelles@univ.teluq.ca,DROI17453972,DROI17019309,Feminin,17-01-1993,Automne 2020,Administration,ADM 4015,Modèles internationaux de gestion des ressources humaines,B,Programme court en développement économique local et communautaire,121,Développement économique local et communautaire
Isabella,Drouin,"6336 Bd Maurice-Duplessis, Montréal-Nord, QC H1G 1Y8",514-549-2958,17453972,drouin.isabelles@univ.teluq.ca,DROI17453972,DROI17019309,Feminin,17-01-1993,Automne 2020,Administration,ECO 2011,Administration (économie) du Québec,A,Programme court en développement économique local et communautaire,121,Développement économique local et communautaire
Benjamin,Caron,"9827 Grande Allée, Montréal, QC H3L 1H2",438-492-3769,56197037,caron.benjamin@univ.teluq.ca,CARB56197037,CARB31019317,Masculin,31-01-1993,Hiver 2022,Lettres et langues,FRA 1002,Maîtrise du farnçais écrit,B,Programme court de perfectionnement  en français écrit,73,Perfectionnement en français écrit
Benjamin,Caron,"9827 Grande Allée, Montréal, QC H3L 1H2",438-492-3769,56197037,caron.benjamin@univ.teluq.ca,CARB56197037,CARB31019317,Masculin,31-01-1993,Hiver 2022,Lettres et langues,FRA 3005,Rédaction fondamentale,A,Programme court de perfectionnement  en français écrit,73,Perfectionnement en français écrit
Benjamin,Caron,"9827 Grande Allée, Montréal, QC H3L 1H2",438-492-3769,56197037,caron.benjamin@univ.teluq.ca,CARB56197037,CARB31019317,Masculin,31-01-1993,Hiver 2022,Lettres et langues,LIN 2003,Nouvelles pratiques du français,B,Programme court de perfectionnement  en français écrit,73,Perfectionnement en français écrit
Benjamin,Caron,"9827 Grande Allée, Montréal, QC H3L 1H2",438-492-3769,56197037,caron.benjamin@univ.teluq.ca,CARB56197037,CARB31019317,Masculin,31-01-1993,Hiver 2022,Lettres et langues,PHI 1010,L'organisation de la pensée,Abandon,Programme court de perfectionnement  en français écrit,73,Perfectionnement en français écrit
Charlotte,Lavoie,"9942 Rue Verville, Montréal, QC H3L 3E3",438-923-8047,39563852,lavoie.charlotte@univ.teluq.ca,LAVC39563852,LAVC26069203,Feminin,26-06-1992,Automne 2020,Informatique et technologies de l'information,SCI 1016,Introduction à la science des données,A,Certificat en science des données,4865,Science des données
Charlotte,Lavoie,"9942 Rue Verville, Montréal, QC H3L 3E3",438-923-8047,39563852,lavoie.charlotte@univ.teluq.ca,LAVC39563852,LAVC26069203,Feminin,26-06-1992,Automne 2020,Informatique et technologies de l'information,SCI 1018,Statistiques avec R,Abandon,Certificat en science des données,4865,Science des données
Charlotte,Lavoie,"9942 Rue Verville, Montréal, QC H3L 3E3",438-923-8047,39563852,lavoie.charlotte@univ.teluq.ca,LAVC39563852,LAVC26069203,Feminin,26-06-1992,Automne 2020,Informatique et technologies de l'information,SCI 1402,Projet e science des données,A,Certificat en science des données,4865,Science des données
Charlotte,Lavoie,"9942 Rue Verville, Montréal, QC H3L 3E3",438-923-8047,39563852,lavoie.charlotte@univ.teluq.ca,LAVC39563852,LAVC26069203,Feminin,26-06-1992,Automne 2020,Informatique et technologies de l'information,INF 1220,Introduction à la programmation,B,Certificat en science des données,4865,Science des données
Sophie,Lafontaine,"9784 Rue Tolhurst, Montréal, QC H3L 2Z8",514-618-3746,35486791,lafontaine.sophie@univ.teluq.ca,LAFS35486791,LAFS28039407,Feminin,28-03-1994,Automne 2021,Entrepreneuriat,ADM 2115A,Simulation SIM-Plan d'affaires,B,Certificat en compétences entrepreneuriales et gestion des PME/PMO,4089,Compétences entrepreneuriales et gestion des PME/PMO
Sophie,Lafontaine,"9784 Rue Tolhurst, Montréal, QC H3L 2Z8",514-618-3746,35486791,lafontaine.sophie@univ.teluq.ca,LAFS35486791,LAFS28039407,Feminin,28-03-1994,Automne 2021,Entrepreneuriat,ADM 4007,Analyse stratégique de l'entreprise,A,Certificat en compétences entrepreneuriales et gestion des PME/PMO,4089,Compétences entrepreneuriales et gestion des PME/PMO
Sophie,Lafontaine,"9784 Rue Tolhurst, Montréal, QC H3L 2Z8",514-618-3746,35486791,lafontaine.sophie@univ.teluq.ca,LAFS35486791,LAFS28039407,Feminin,28-03-1994,Automne 2021,Entrepreneuriat,ADM 4007A,Simulation NaviSim,A,Certificat en compétences entrepreneuriales et gestion des PME/PMO,4089,Compétences entrepreneuriales et gestion des PME/PMO
Sophie,Lafontaine,"9784 Rue Tolhurst, Montréal, QC H3L 2Z8",514-618-3746,35486791,lafontaine.sophie@univ.teluq.ca,LAFS35486791,LAFS28039407,Feminin,28-03-1994,Automne 2021,Entrepreneuriat,ADM 4007B,Rédiger son plan d'affaires,B,Certificat en compétences entrepreneuriales et gestion des PME/PMO,4089,Compétences entrepreneuriales et gestion des PME/PMO
William,Parent,"8572 Av. d'Outremont, Montréal, QC H3N 2M8",514-948-2036,18456982,parent.william@univ.teluq.ca,PARW18456982,PARW17109205,Masculin,17-10-1992,Été 2021,Administration (économie),ADM 1013,Comportement organisationnel,A,Baccalauréat en administration (concentration en Administration (économie)),6775,Administration (économie)
William,Parent,"8572 Av. d'Outremont, Montréal, QC H3N 2M8",514-948-2036,18456982,parent.william@univ.teluq.ca,PARW18456982,PARW17109205,Masculin,17-10-1992,Été 2021,Administration (économie),ADM 2007,Introduction au marketing,B,Baccalauréat en administration (concentration en Administration (économie)),6775,Administration (économie)
William,Parent,"8572 Av. d'Outremont, Montréal, QC H3N 2M8",514-948-2036,18456982,parent.william@univ.teluq.ca,PARW18456982,PARW17109205,Masculin,17-10-1992,Été 2021,Administration (économie),ADM 1015,Gestion des ressources humaines,A,Baccalauréat en administration (concentration en Administration (économie)),6775,Administration (économie)
William,Parent,"8572 Av. d'Outremont, Montréal, QC H3N 2M8",514-948-2036,18456982,parent.william@univ.teluq.ca,PARW18456982,PARW17109205,Masculin,17-10-1992,Été 2021,Administration (économie),ADM 2006,Les systèmes d'information de gestion,A,Baccalauréat en administration (concentration en Administration (économie)),6775,Administration (économie)
Jacob,Rousseau,"8579 Bd de l'Acadie, Montréal, QC H3N 2W7",438-834-5976,28563460,rousseau.jacob@univ.teluq.ca,ROUJ28563460,ROUJ04088604,Masculin,4/8/1986,Hiver 2020,Gestion des technologies de l'information,ADM 6020,Stratégies en affaires électroniques,B,"Maîtrise en sciences (technologies de l'information), profil avec mémoire",1811,"Sciences (technologie de l'information), profil avec mémoire"
Jacob,Rousseau,"8579 Bd de l'Acadie, Montréal, QC H3N 2W7",438-834-5976,28563460,rousseau.jacob@univ.teluq.ca,ROUJ28563460,ROUJ04088604,Masculin,4/8/1986,Hiver 2020,Gestion des technologies de l'information,ADM 6030,Gestion des risques en affaires électroniques,A,"Maîtrise en sciences (technologies de l'information), profil avec mémoire",1811,"Sciences (technologie de l'information), profil avec mémoire"
Jacob,Rousseau,"8579 Bd de l'Acadie, Montréal, QC H3N 2W7",438-834-5976,28563460,rousseau.jacob@univ.teluq.ca,ROUJ28563460,ROUJ04088604,Masculin,4/8/1986,Hiver 2020,Gestion des technologies de l'information,ADM 6044,Gestion de projet en technologie de l'information,A,"Maîtrise en sciences (technologies de l'information), profil avec mémoire",1811,"Sciences (technologie de l'information), profil avec mémoire"
Jacob,Rousseau,"8579 Bd de l'Acadie, Montréal, QC H3N 2W7",438-834-5976,28563460,rousseau.jacob@univ.teluq.ca,ROUJ28563460,ROUJ04088604,Masculin,4/8/1986,Hiver 2020,Gestion des technologies de l'information,ADM 6046,Gestion de la sécurité des technologies de l'information,B,"Maîtrise en sciences (technologies de l'information), profil avec mémoire",1811,"Sciences (technologie de l'information), profil avec mémoire"
Rosalie,Fournier,"1963 Rue Dollard, Longueuil, QC J4K 4N7",438-579-2357,93546085,fournier.rosalie@univ.teluq.ca,FOUR93546085,FOUR09058717,Feminin,9/5/1987,Hiver 2021,Gestion des technologies de l'information,ADM 6030,Gestion des risques en affaires électroniques,C,"Maîtrise en sciences (technologies de l'information), profil sans mémoire",1810,"Sciences (technologie de l'information), profil sans mémoire"
Rosalie,Fournier,"1963 Rue Dollard, Longueuil, QC J4K 4N7",438-579-2357,93546085,fournier.rosalie@univ.teluq.ca,FOUR93546085,FOUR09058717,Feminin,9/5/1987,Hiver 2021,Gestion des technologies de l'information,ADM 6040,Gestion stratégique des technologies de l'information,C,"Maîtrise en sciences (technologies de l'information), profil sans mémoire",1810,"Sciences (technologie de l'information), profil sans mémoire"
Rosalie,Fournier,"1963 Rue Dollard, Longueuil, QC J4K 4N7",438-579-2357,93546085,fournier.rosalie@univ.teluq.ca,FOUR93546085,FOUR09058717,Feminin,9/5/1987,Hiver 2021,Gestion des technologies de l'information,ENV 6008,Modélisation et systèmes d'aide à la décision en environnement,B,"Maîtrise en sciences (technologies de l'information), profil sans mémoire",1810,"Sciences (technologie de l'information), profil sans mémoire"
Rosalie,Fournier,"1963 Rue Dollard, Longueuil, QC J4K 4N7",438-579-2357,93546085,fournier.rosalie@univ.teluq.ca,FOUR93546085,FOUR09058717,Feminin,9/5/1987,Hiver 2021,Gestion des technologies de l'information,INF 6104,Recherche d'informations et web,B,"Maîtrise en sciences (technologies de l'information), profil sans mémoire",1810,"Sciences (technologie de l'information), profil sans mémoire"
Léa,Bergeron,"2039 Rue-Notre-Dame-de-Grâces, Longueuil, QC J4J 3G6",450-823-4859,72940563,bergeron.lea@univ.teluq.ca,BERL72940563,BERL11098813,Feminin,11/9/1998,Été 2021,Informatique et technologies de l'information,INF 1220,Introduction à la programmation,A,Majeure en informatique,6010,Informatique 
Léa,Bergeron,"2039 Rue-Notre-Dame-de-Grâces, Longueuil, QC J4J 3G6",450-823-4859,72940563,bergeron.lea@univ.teluq.ca,BERL72940563,BERL11098813,Feminin,11/9/1998,Été 2021,Informatique et technologies de l'information,INF 1250,Introduction aux bases de données,A,Majeure en informatique,6010,Informatique 
Léa,Bergeron,"2039 Rue-Notre-Dame-de-Grâces, Longueuil, QC J4J 3G6",450-823-4859,72940563,bergeron.lea@univ.teluq.ca,BERL72940563,BERL11098813,Feminin,11/9/1998,Été 2021,Informatique et technologies de l'information,INF 1425,Algorithmique et structures de données,B,Majeure en informatique,6010,Informatique 
Léa,Bergeron,"2039 Rue-Notre-Dame-de-Grâces, Longueuil, QC J4J 3G6",450-823-4859,72940563,bergeron.lea@univ.teluq.ca,BERL72940563,BERL11098813,Feminin,11/9/1998,Été 2021,Informatique et technologies de l'information,INF 1427,Architecture des ordinateurs,C,Majeure en informatique,6010,Informatique 
Yasmine,Leduc,"232 Boulevard Curé-Poirier E, Longueuil, QC J4J 2J3",579-439-4759,40285637,leduc.yasmine@univ.teluq.ca,LEDY40285637,LEDY08088916,Feminin,8/8/1989,Automne 2020,Comptabilité,SCO 1065,Fiscalité 2,C,Certificat en sciences comptables,4138,Sciences comptables
Yasmine,Leduc,"232 Boulevard Curé-Poirier E, Longueuil, QC J4J 2J3",579-439-4759,40285637,leduc.yasmine@univ.teluq.ca,LEDY40285637,LEDY08088916,Feminin,8/8/1989,Automne 2020,Comptabilité,SCO 3001,Comptabilité de management et contrôle ,B,Certificat en sciences comptables,4138,Sciences comptables
Yasmine,Leduc,"232 Boulevard Curé-Poirier E, Longueuil, QC J4J 2J3",579-439-4759,40285637,leduc.yasmine@univ.teluq.ca,LEDY40285637,LEDY08088916,Feminin,8/8/1989,Automne 2020,Comptabilité,SCO 3212,Comptabilité intermédiaire 2,A,Certificat en sciences comptables,4138,Sciences comptables
Yasmine,Leduc,"232 Boulevard Curé-Poirier E, Longueuil, QC J4J 2J3",579-439-4759,40285637,leduc.yasmine@univ.teluq.ca,LEDY40285637,LEDY08088916,Feminin,8/8/1989,Automne 2020,Comptabilité,SCO 3214,Gouvernance d'entreprise: aspects comptables et financiers,A,Certificat en sciences comptables,4138,Sciences comptables
Nathan,Deschênes,"412 Rue Brault, Longueuil, QC J4J 2L7",450-726-4857,92547350,deschaines.nathan@univ.teluq.ca,DESN92547350,DESN14128304,Masculin,14-12-1983,Hiver 2020,Informatique et technologies de l'information,ADM 6050,Analytique d'affaires,A,Programme court en technologie de l'information,810,Technologie de l'information
Nathan,Deschênes,"412 Rue Brault, Longueuil, QC J4J 2L7",450-726-4857,92547350,deschaines.nathan@univ.teluq.ca,DESN92547350,DESN14128304,Masculin,14-12-1983,Hiver 2020,Informatique et technologies de l'information,ENV 6008,Modélisation et systèmes d'aide à la décision en environnement,B,Programme court en technologie de l'information,810,Technologie de l'information
Nathan,Deschênes,"412 Rue Brault, Longueuil, QC J4J 2L7",450-726-4857,92547350,deschaines.nathan@univ.teluq.ca,DESN92547350,DESN14128304,Masculin,14-12-1983,Hiver 2020,Informatique et technologies de l'information,INF 6104,Recherche d'informations et web,C,Programme court en technologie de l'information,810,Technologie de l'information
Nathan,Deschênes,"412 Rue Brault, Longueuil, QC J4J 2L7",450-726-4857,92547350,deschaines.nathan@univ.teluq.ca,DESN92547350,DESN14128304,Masculin,14-12-1983,Hiver 2020,Informatique et technologies de l'information,INF 6408,Informatique de l'analyse multidimensionnelle,C,Programme court en technologie de l'information,810,Technologie de l'information
